"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
92,"SP-D17-18","upper","0:0:21",3,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:16:08","12/03/2019 09:16:29","ae7d7950ed68a29b627719c0723f0ca0"
93,"SP-D17-18","lower","0:0:21",5,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:16:08","12/03/2019 09:16:29","ae7d7950ed68a29b627719c0723f0ca0"
57,"SP-V1","NA",0,6,0,0,5,5,5,"SUCCESS","12/03/2019","12/03/2019 09:18:14","NA","e15ceae8fa62a160cebe0a1644e6116c"
73,"SP-W1","NA","0:9:37",1,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:13:15","12/03/2019 09:22:52","467b712f6f3dd1baad34f7b11b75f7d1"
74,"SP-W1","NA","0:0:2",17,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:24:23","12/03/2019 09:24:25","467b712f6f3dd1baad34f7b11b75f7d1"
75,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:28:41","12/03/2019 09:28:42","467b712f6f3dd1baad34f7b11b75f7d1"
59,"SP-V1","NA",0,13,0,0,9,11,6,"SUCCESS","12/03/2019","12/03/2019 09:31:51","NA","e15ceae8fa62a160cebe0a1644e6116c"
94,"SP-D17-18","lower","0:0:18",0,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:40:20","12/03/2019 09:40:38","ae7d7950ed68a29b627719c0723f0ca0"
95,"SP-D17-18","upper","0:0:18",8,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:40:20","12/03/2019 09:40:38","ae7d7950ed68a29b627719c0723f0ca0"
96,"SP-D17-18","upper","0:0:2",0,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:41:06","12/03/2019 09:41:08","ae7d7950ed68a29b627719c0723f0ca0"
97,"SP-D17-18","lower","0:0:2",0,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:41:06","12/03/2019 09:41:08","ae7d7950ed68a29b627719c0723f0ca0"
98,"SP-D17-18","upper","0:0:23",3,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:43:14","12/03/2019 09:43:37","ae7d7950ed68a29b627719c0723f0ca0"
99,"SP-D17-18","lower","0:0:23",5,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:43:14","12/03/2019 09:43:37","ae7d7950ed68a29b627719c0723f0ca0"
76,"SP-W1","NA","0:0:1",10,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:48:50","12/03/2019 09:48:51","467b712f6f3dd1baad34f7b11b75f7d1"
60,"SP-V1","NA",0,6,0,0,5,5,5,"SUCCESS","12/03/2019","12/03/2019 09:50:30","NA","e15ceae8fa62a160cebe0a1644e6116c"
100,"SP-D17-18","upper","0:0:17",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:53:27","12/03/2019 09:53:44","ae7d7950ed68a29b627719c0723f0ca0"
101,"SP-D17-18","lower","0:0:17",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:53:27","12/03/2019 09:53:44","ae7d7950ed68a29b627719c0723f0ca0"
77,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 09:56:11","12/03/2019 09:56:12","467b712f6f3dd1baad34f7b11b75f7d1"
61,"SP-V1","NA",0,6,0,0,5,5,5,"SUCCESS","12/03/2019","12/03/2019 09:57:19","NA","e15ceae8fa62a160cebe0a1644e6116c"
78,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:00:18","12/03/2019 10:00:19","467b712f6f3dd1baad34f7b11b75f7d1"
79,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:01:48","12/03/2019 10:01:49","467b712f6f3dd1baad34f7b11b75f7d1"
102,"SP-D17-18","upper","0:0:20",4,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:03:32","12/03/2019 10:03:52","ae7d7950ed68a29b627719c0723f0ca0"
103,"SP-D17-18","lower","0:0:20",4,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:03:32","12/03/2019 10:03:52","ae7d7950ed68a29b627719c0723f0ca0"
104,"SP-D17-18","upper","0:0:19",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:05:21","12/03/2019 10:05:40","ae7d7950ed68a29b627719c0723f0ca0"
105,"SP-D17-18","lower","0:0:19",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:05:21","12/03/2019 10:05:40","ae7d7950ed68a29b627719c0723f0ca0"
62,"SP-V1","NA",0,7,0,0,3,5,5,"SUCCESS","12/03/2019","12/03/2019 10:07:49","NA","e15ceae8fa62a160cebe0a1644e6116c"
80,"SP-W1","NA","0:1:13",1,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:13:04","12/03/2019 10:14:17","467b712f6f3dd1baad34f7b11b75f7d1"
106,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:20:35","12/03/2019 10:20:53","ae7d7950ed68a29b627719c0723f0ca0"
107,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:20:35","12/03/2019 10:20:53","ae7d7950ed68a29b627719c0723f0ca0"
65,"SP-V1","NA",0,12,0,0,15,17,15,"SUCCESS","12/03/2019","12/03/2019 10:18:19","NA","e15ceae8fa62a160cebe0a1644e6116c"
81,"SP-W1","NA","0:0:3",17,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:26:11","12/03/2019 10:26:14","467b712f6f3dd1baad34f7b11b75f7d1"
66,"SP-V1","NA",0,7,0,0,5,5,5,"SUCCESS","12/03/2019","12/03/2019 10:23:52","NA","e15ceae8fa62a160cebe0a1644e6116c"
67,"SP-V1","NA",0,6,0,0,5,5,5,"SUCCESS","12/03/2019","12/03/2019 10:28:29","NA","e15ceae8fa62a160cebe0a1644e6116c"
82,"SP-W1","NA","0:0:3",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:32:21","12/03/2019 10:32:24","467b712f6f3dd1baad34f7b11b75f7d1"
108,"SP-D17-18","upper","0:0:17",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:33:16","12/03/2019 10:33:33","ae7d7950ed68a29b627719c0723f0ca0"
109,"SP-D17-18","lower","0:0:17",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:33:16","12/03/2019 10:33:33","ae7d7950ed68a29b627719c0723f0ca0"
69,"SP-V1","NA",0,13,0,0,10,11,10,"SUCCESS","12/03/2019","12/03/2019 10:38:16","NA","e15ceae8fa62a160cebe0a1644e6116c"
110,"SP-D17-18","upper","0:0:20",4,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:42:41","12/03/2019 10:43:01","ae7d7950ed68a29b627719c0723f0ca0"
111,"SP-D17-18","lower","0:0:20",4,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:42:41","12/03/2019 10:43:01","ae7d7950ed68a29b627719c0723f0ca0"
83,"SP-W1","NA","0:0:0",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:44:59","12/03/2019 10:44:59","467b712f6f3dd1baad34f7b11b75f7d1"
84,"SP-W1","NA","0:2:53",1,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:45:30","12/03/2019 10:48:23","467b712f6f3dd1baad34f7b11b75f7d1"
85,"SP-W1","NA","0:0:0",8,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:49:08","12/03/2019 10:49:08","467b712f6f3dd1baad34f7b11b75f7d1"
112,"SP-D17-18","upper","0:0:18",6,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:58:26","12/03/2019 10:58:44","ae7d7950ed68a29b627719c0723f0ca0"
113,"SP-D17-18","lower","0:0:18",2,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 10:58:26","12/03/2019 10:58:44","ae7d7950ed68a29b627719c0723f0ca0"
86,"SP-W1","NA","0:0:1",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 11:01:08","12/03/2019 11:01:09","467b712f6f3dd1baad34f7b11b75f7d1"
72,"SP-V1","NA",0,19,0,0,16,13,15,"SUCCESS","12/03/2019","12/03/2019 11:02:55","NA","e15ceae8fa62a160cebe0a1644e6116c"
87,"SP-W1","NA","0:0:2",9,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 11:23:57","12/03/2019 11:23:59","467b712f6f3dd1baad34f7b11b75f7d1"
114,"SP-D17-18","upper","0:0:18",5,0,0,0,0,0,"SUCCESS","12/03/2019","12/03/2019 11:24:42","12/03/2019 11:25:00","ae7d7950ed68a29b627719c0723f0ca0"
