"no","name","side","runTime","Coin_received","Wechat_received","Manual_payment","Detergent","Softener","LB","status","date","startTime","endTime","machine"
2,"PJCC-W3","NA","0:24:20",4,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 22:17:09","03/01/2019 22:41:29","7ce10970545f2bd2bb77388f95c4fa65"
1,"PJCC-W24","NA","0:25:47",8,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 22:40:04","03/01/2019 23:05:51","85520fd664e3dbcb2bef677543dcaf23"
1,"PJCC-D23","NA","0:29:46",6,0,0,0,0,0,"SUCCESS","03/01/2019","03/01/2019 23:06:52","03/01/2019 23:36:38","e1c98e44e2af2b1d3cc1c36c45e08000"
1,"PJCC-W24","NA","0:25:45",7,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 01:51:27","04/01/2019 02:17:12","85520fd664e3dbcb2bef677543dcaf23"
1,"PJCC-D29-30","upper","0:32:46",11,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 02:20:57","04/01/2019 02:53:43","271d6088283749c5d65c5428c0c967a9"
2,"PJCC-W24","NA","0:25:45",7,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 08:25:50","04/01/2019 08:51:35","85520fd664e3dbcb2bef677543dcaf23"
1,"PJCC-W25","NA","0:25:35",10,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 09:01:34","04/01/2019 09:27:09","e92b1ad5c195c747a7d2a0845204d8f7"
3,"PJCC-W24","NA","0:25:46",7,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 09:18:28","04/01/2019 09:44:14","85520fd664e3dbcb2bef677543dcaf23"
1,"PJCC-D17","NA","0:29:49",6,0,5,0,0,0,"SUCCESS","04/01/2019","04/01/2019 09:31:45","04/01/2019 10:01:34","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W3","NA","0:24:17",4,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 10:36:25","04/01/2019 11:00:42","7ce10970545f2bd2bb77388f95c4fa65"
2,"PJCC-D17","NA","0:24:45",5,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 11:39:02","04/01/2019 12:03:47","40c2a7e3bcdcb1c73c03d845cebe497a"
1,"PJCC-W4","NA","0:24:18",4,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 13:00:51","04/01/2019 13:25:09","583f39fc2ca046563574510e34b345ef"
2,"PJCC-W4","NA","0:24:20",4,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 15:10:00","04/01/2019 15:34:20","583f39fc2ca046563574510e34b345ef"
2,"PJCC-D23","NA","0:0:31",0,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 16:14:53","04/01/2019 16:15:24","e1c98e44e2af2b1d3cc1c36c45e08000"
4,"PJCC-W24","NA","0:25:47",7,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 16:07:13","04/01/2019 16:33:00","85520fd664e3dbcb2bef677543dcaf23"
2,"PJCC-W3","NA","0:24:18",4,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 16:26:38","04/01/2019 16:50:56","7ce10970545f2bd2bb77388f95c4fa65"
3,"PJCC-W4","NA","0:24:18",4,0,0,0,0,0,"SUCCESS","04/01/2019","04/01/2019 16:26:51","04/01/2019 16:51:09","583f39fc2ca046563574510e34b345ef"
